"id","sku","name","description","measure","price","mrp","on_hand","taxons","has_variants","no_of_variants","deleted_at",
1025788224,,,,"200 gms",63.7,65,0,,,,,2
1025788223,,,,"500 gms",132.3,135,0,,,,,2
1025788222,,,,"1 kg",245,250,0,,,,,2
1060501444,,"Boost PP Jar ",,,68.6,70,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788226,,,,"200 gms",68.6,70,0,,,,,2
1060501445,,"Boost Pack",,,195,199,1000,"Groceries/Beverages/Health Drinks","TRUE",1,,2.010050251
1025788228,,,,"750 gms",195,199,1000,,,,,2.010050251
1060501446,,"Boost Jar",,,73.5,75,1000,"Groceries/Beverages/Health Drinks","TRUE",2,,2
,,,,"200 gms",73.5,75,1000,,,,,2
1025788230,,,,"500 gms",147,150,1000,,,,,2
1060501447,,"Thums Up",,,23.5,24,1000,"Groceries/Beverages/Cold Drinks","TRUE",3,,2.083333333
1025788233,,,,"600 ml",23.5,24,1000,,,,,2.083333333
,,,,"1. 25 lt",32.3,33,1000,,,,,2.121212121
1025788232,,,,"2 lt",53.9,55,1000,,,,,2
1060501448,,"Coco Cola",,,23.5,24,1000,"Groceries/Beverages/Cold Drinks","TRUE",2,,2.083333333
1025788236,,,,"600 ml",23.5,24,1000,,,,,2.083333333
1025788235,,,,"2 lt",58.8,60,1000,,,,,2
1060501449,,"Pepsi Diet",,,21.6,22,1000,"Groceries/Beverages/Cold Drinks","TRUE",1,,1.818181818
1025788238,,,,"500 ml",21.6,22,1000,,,,,1.818181818
1060501450,,"Pepsi",,,22.5,23,1000,"Groceries/Beverages/Cold Drinks","TRUE",3,,2.173913043
1025788242,,,,"600 ml",22.5,23,1000,,,,,2.173913043
1025788241,,,,"2 lt",53.9,55,1000,,,,,2
1025788240,,,,"2.5 lt",62,75,1000,,,,,17.33333333
1060501451,,"Fanta",,,22.5,23,1000,"Groceries/Beverages/Cold Drinks","TRUE",2,,2.173913043
1025788245,,,,"600 ml",22.5,23,1000,,,,,2.173913043
1025788244,,,,"2 lt",53.9,55,1000,,,,,2
1060501452,,"Mirinda",,,22.5,23,1000,"Groceries/Beverages/Cold Drinks","TRUE",3,,2.173913043
1025788249,,,,"600 ml",22.5,23,1000,,,,,2.173913043
1025788248,,,,"2 lt",53.9,55,1000,,,,,2
1025788247,,,,"2.5 lt",62,75,1000,,,,,17.33333333
1060501453,,"Sprite",,,23.5,24,1000,"Groceries/Beverages/Cold Drinks","TRUE",3,,2.083333333
